,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
0,Abu,Shield,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,6850 BCE,34,34,3597.0,9594.0,117805.0,4071152.0,641,2103
2,Acatenango,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,1972 CE,14,14,4329.0,60730.0,1042836.0,7634778.0,3976,13045
3,Acigol-Nevsehir,Caldera,Turkey,Mediterranean and Western Asia,Turkey,holocene,2080 BCE,38,38,127863.0,127863.0,218469.0,2253483.0,1683,5522
6,Adatarayama,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1996 CE,37,37,428.0,3936.0,717078.0,5024654.0,1728,5669
7,Adwa,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,10,10,101.0,485.0,18645.0,1242922.0,1670,5479
8,Afdera,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,13,13,51.0,6042.0,8611.0,161009.0,1250,4101
10,Agua,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Credible,14,14,9890.0,114404.0,2530449.0,7441660.0,3760,12336
11,Agua de Pau,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1564 CE,37,37,406.0,17272.0,113131.0,119653.0,947,3107
13,Agung,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2019 CE,8,8,5657.0,76781.0,968381.0,4550176.0,2997,9833
15,Aira,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2022 CE,31,31,4918.0,113874.0,905254.0,2610033.0,1117,3665
16,Akademia Nauk,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,1996 CE,53,53,3.0,3.0,615.0,12484.0,1180,3871
17,Akagisan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Uncertain,36,36,961.0,4538.0,1116366.0,16718375.0,1828,5997
18,Akan,Caldera,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2008 CE,43,43,2062.0,2062.0,9756.0,929538.0,1499,4918
20,Akita-Komagatake,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1971 CE,39,39,376.0,3864.0,216708.0,2521611.0,1637,5371
21,Akita-Yakeyama,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1997 CE,39,39,127.0,721.0,55493.0,3122037.0,1366,4482
22,Akusekijima,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,Unknown - Evidence Uncertain,29,29,52.0,52.0,199.0,749.0,555,1821
26,Alayta,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1915 CE,12,12,156.0,925.0,13459.0,330411.0,1496,4908
27,Alcedo,Shield,Ecuador,South America,Galapagos Islands,holocene,1993 CE,0,0,290.0,290.0,388.0,10756.0,1130,3707
28,Ale Bagu,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,13,13,2.0,919.0,8424.0,278270.0,988,3241
29,Alid,Stratovolcano,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,14,14,517.0,2447.0,25942.0,1216179.0,904,2966
32,Almolonga,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,1818 CE,14,14,91323.0,287487.0,1126942.0,6828403.0,3173,10410
35,Aluto,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,50 BCE,7,7,6011.0,25619.0,314216.0,6813710.0,2335,7661
37,Amasing,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,0,0,59.0,803.0,26015.0,92417.0,1030,3379
38,Ambae,Shield,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,15,15,73.0,1279.0,4326.0,73308.0,1496,4908
39,Ambalatungan Group,Compound,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Unrest / Holocene,17,17,493.0,3803.0,55724.0,4652400.0,2329,7641
40,Ambang,Complex,Indonesia,Indonesia,Sulawesi,holocene,2005 CE,0,0,9155.0,46469.0,319137.0,1730602.0,1795,5889
41,Ambitle,Stratovolcano,Papua New Guinea,Melanesia and Australia,New Ireland,holocene,350 BCE,4,4,1643.0,9195.0,9779.0,24367.0,450,1476
42,Ambre-Bobaomby,Volcanic field,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,12,12,20396.0,20396.0,51426.0,408436.0,1475,4839
43,Ambrym,Pyroclastic shield,Vanuatu,Melanesia and Australia,Vanuatu,holocene,2022 CE,16,16,9.0,186.0,10826.0,63999.0,1334,4377
47,Andahua-Orcopampa,Pyroclastic cone,Peru,South America,Peru,holocene,1490 CE,15,15,10317.0,10317.0,16541.0,171897.0,4713,15463
49,Aneityum,Stratovolcano,Vanuatu,Melanesia and Australia,Vanuatu,holocene,Unknown - Evidence Uncertain,20,20,176.0,692.0,703.0,22731.0,852,2795
51,Ankaizina Field,Pyroclastic cone,Madagascar,Middle East and Indian Ocean,Indian Ocean (western),holocene,Unknown - Evidence Credible,14,14,9628.0,9628.0,41916.0,637393.0,2878,9442
52,Antillanca Volcanic Complex,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,230 BCE,40,40,87.0,521.0,5986.0,530586.0,1979,6493
53,Antisana,Stratovolcano,Ecuador,South America,Ecuador,holocene,1802 CE,0,0,232.0,2220.0,56154.0,3314142.0,5753,18875
54,Antofagasta Volcanic Field,Pyroclastic cone,Argentina,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Uncertain,26,26,188.0,188.0,257.0,4295.0,3495,11467
55,Antuco,Stratovolcano,Chile,South America,Central Chile and Argentina,holocene,1869 CE,37,37,117.0,474.0,3872.0,381623.0,2979,9774
56,Aogashima,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1785 CE,32,32,232.0,232.0,232.0,8559.0,423,1388
57,Apagado,Pyroclastic cone,Chile,South America,Southern Chile and Argentina,holocene,590 BCE,41,41,5.0,44.0,4474.0,354002.0,1210,3970
58,Apaneca Range,Stratovolcano,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,11141.0,151502.0,1113282.0,6215853.0,2028,6654
59,Apastepeque Field,Volcanic field,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,377730.0,377730.0,687849.0,6372608.0,700,2297
60,Apo,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Unrest / Holocene,6,6,1355.0,5431.0,767800.0,7768291.0,2938,9639
61,Apoyeque,Pyroclastic shield,Nicaragua,México and Central America,Nicaragua,holocene,50 BCE,12,12,2369.0,116718.0,1342581.0,3445854.0,518,1699
64,"Aramuaca, Laguna",Maar,El Salvador,México and Central America,El Salvador and Honduras,holocene,Unknown - Evidence Credible,13,13,15772.0,132109.0,699308.0,3009012.0,181,594
65,Ararat,Stratovolcano,Turkey,Mediterranean and Western Asia,Turkey,holocene,1840 CE,39,39,25.0,1239.0,135563.0,2811646.0,5165,16946
66,Arayat,Stratovolcano,Philippines,Philippines and SE Asia,Luzon,holocene,Unknown - Evidence Uncertain,15,15,7846.0,190674.0,2805269.0,27216491.0,1026,3366
67,Ardoukoba,Fissure vent,Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1978 CE,11,11,2895.0,2895.0,6898.0,560146.0,298,978
68,Arenal,Stratovolcano,Costa Rica,México and Central America,Costa Rica,holocene,2010 CE,10,10,3429.0,15643.0,96512.0,3027485.0,1670,5479
69,"Arhab, Harra of",Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,500 CE,15,15,284443.0,284443.0,820695.0,6517834.0,3100,10171
70,Arjuno-Welirang,Stratovolcano,Indonesia,Indonesia,Java,holocene,1952 CE,7,7,2584.0,53983.0,4143137.0,25385433.0,3343,10968
71,Arxan-Chaihe,Pyroclastic cone,China,Kamchatka and Mainland Asia,China (eastern),holocene,0 CE,47,47,6435.0,6435.0,6435.0,188163.0,1677,5502
73,Asamayama,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,2019 CE,36,36,583.0,22371.0,457576.0,7629353.0,2568,8425
74,Asavyo,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,13,13,84.0,479.0,7697.0,47836.0,1338,4390
75,Ascension,Stratovolcano,United Kingdom,Atlantic Ocean,Atlantic Ocean (central),holocene,1508 CE,7,7,614.0,1149.0,1149.0,1149.0,858,2815
77,Asosan,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2021 CE,32,32,75559.0,75559.0,234591.0,6507519.0,1592,5223
78,Assab Volcanic Field,Volcanic field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,12,12,9.0,9.0,97.0,181952.0,987,3238
80,Ata,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,885 CE,31,31,93134.0,93134.0,171590.0,1891380.0,924,3031
81,Atacazo,Stratovolcano,Ecuador,South America,Ecuador,holocene,320 BCE,0,0,449.0,212988.0,1837303.0,3769593.0,4463,14642
83,Atitlan,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,1853 CE,14,14,2303.0,70431.0,664649.0,8029695.0,3535,11598
86,"Atlixcos, Los",Shield,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,19,19,5792.0,13732.0,115456.0,2971490.0,775,2543
87,"Atuel, Caldera del",Caldera,Argentina,South America,Central Chile and Argentina,holocene,Unknown - Evidence Credible,34,34,297.0,297.0,1003.0,676916.0,5189,17024
88,Auckland Volcanic Field,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,1446 CE,36,36,1049110.0,1049110.0,1222436.0,1446768.0,260,853
